baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_name.84	gene_type.84	chr.84	start.84	stop.84	loc.84	Gene	gene_type.107	chr	start	stop.107	loc.107	gene_id.107
GCH1	997.645549080053	-0.0869025817309659	0.115293299539289	-0.753752230860141	0.450998012571333	0.760197554008403	ENSG00000131979	GCH1	protein_coding	chr14	54842008	54902852	chr14:54842008	GCH1	protein_coding	chr14	54842008	54902826	chr14:54842008	ENSG00000131979
GCHFR	217.745413595733	0.189212732125032	0.26671650634534	0.709415156630924	0.478066884870945	0.77612870830901	ENSG00000137880	GCHFR	protein_coding	chr15	40764020	40767710	chr15:40764020	GCHFR	protein_coding	chr15	40764068	40767708	chr15:40764068	ENSG00000137880
GCLC	711.605204185487	-0.217714122725786	0.101104368837056	-2.15336018838774	0.031290381882393	0.232151118398635	ENSG00000001084	GCLC	protein_coding	chr6	53497341	53616970	chr6:53497341	GCLC	protein_coding	chr6	53497341	53616970	chr6:53497341	ENSG00000001084
GCLM	433.496459471844	-0.181916023455308	0.111579053766008	-1.63037790082719	0.103021652363899	0.406271639784826	ENSG00000023909	GCLM	protein_coding	chr1	93885205	93909456	chr1:93885205	GCLM	protein_coding	chr1	93885199	93909456	chr1:93885199	ENSG00000023909
GCN1	6393.0658292435	-0.0383431554852849	0.154789518780042	-0.247711574966333	0.804357575416345	0.932520330221726	ENSG00000089154	GCN1	protein_coding	chr12	120127203	120194710	chr12:120127203	GCN1	protein_coding	chr12	120127202	120194715	chr12:120127202	ENSG00000089154
GCNT1	131.361325111861	-0.889211487161125	0.233768548172363	-3.80381147982957	0.00014248663266359	0.0125392439889466	ENSG00000187210	GCNT1	protein_coding	chr9	76419850	76507416	chr9:76419850	GCNT1	protein_coding	chr9	76419850	76651203	chr9:76419850	ENSG00000187210
GCNT2	153.567068255001	-0.459985832968421	0.139432281879245	-3.29899092784547	0.000970330471393701	0.0368272709383439	ENSG00000111846	GCNT2	protein_coding	chr6	10492223	10629368	chr6:10492223	GCNT2	protein_coding	chr6	10492223	10629368	chr6:10492223	ENSG00000111846
GCNT4	1303.49981393155	0.244139115794903	0.185894738240318	1.31331912944888	0.189075435208262	0.531989763139495	ENSG00000176928	GCNT4	protein_coding	chr5	75025346	75030899	chr5:75025346	GCNT4	protein_coding	chr5	75025346	75052558	chr5:75025346	ENSG00000176928
GCNT7	81.8701863906466	0.555386268435098	0.252255299053534	2.20168325707693	0.0276876902182193	0.218809764842421	ENSG00000124091	GCNT7	protein_coding	chr20	56491492	56525925	chr20:56491492	GCNT7	protein_coding	chr20	56491492	56525925	chr20:56491492	ENSG00000124091
GCOM1	132.327654904738	1.14026098031074	0.250175661617668	4.55784137009039	5.16820468819686e-06	0.00157168749978795	ENSG00000137878	GCOM1	protein_coding	chr15	57591908	57714745	chr15:57591908	GCOM1	protein_coding	chr15	57591908	57714745	chr15:57591908	ENSG00000137878
GCSAM	743.799787157934	-0.704485000405821	0.262393287989533	-2.68484383043336	0.00725637034335725	0.108439076448618	ENSG00000174500	GCSAM	protein_coding	chr3	112120841	112133305	chr3:112120841	GCSAM	protein_coding	chr3	112120839	112133270	chr3:112120839	ENSG00000174500
GCSH	62.8482224294045	-0.0575740748484556	0.263751161062538	-0.218289370240172	0.82720365609075	0.941465063475632	ENSG00000140905	GCSH	protein_coding	chr16	81081961	81096403	chr16:81081961	GCSH	protein_coding	chr16	81081945	81096395	chr16:81081945	ENSG00000140905
GDAP1	171.558996565191	0.0465120171962338	0.195009067226264	0.238512074632238	0.81148395134911	0.935504241501971	ENSG00000104381	GDAP1	protein_coding	chr8	74321130	74488872	chr8:74321130	GDAP1	protein_coding	chr8	74320613	74518007	chr8:74320613	ENSG00000104381
GDAP2	882.822414686142	0.123350281100411	0.178773439481319	0.689981025471628	0.490206119811525	0.783988643887716	ENSG00000196505	GDAP2	protein_coding	chr1	117863485	117929630	chr1:117863485	GDAP2	protein_coding	chr1	117863485	117929621	chr1:117863485	ENSG00000196505
GDE1	1113.73332193393	-0.0888590809267616	0.119190175313347	-0.745523535754132	0.455955288501466	0.763108519017544	ENSG00000006007	GDE1	protein_coding	chr16	19501689	19522145	chr16:19501689	GDE1	protein_coding	chr16	19501693	19522123	chr16:19501693	ENSG00000006007
GDF11	921.487457042476	-0.499897554131699	0.123912531852031	-4.03427762035117	5.47705322603998e-05	0.00716653196896714	ENSG00000135414	GDF11	protein_coding	chr12	55743280	55757278	chr12:55743280	GDF11	protein_coding	chr12	55743122	55757264	chr12:55743122	ENSG00000135414
GDI2	4404.19828110814	-0.435485999375769	0.161944940017284	-2.689099142766	0.00716451372206146	0.107797299261158	ENSG00000057608	GDI2	protein_coding	chr10	5765223	5842132	chr10:5765223	GDI2	protein_coding	chr10	5765223	5842132	chr10:5765223	ENSG00000057608
GDPD1	129.771828735263	-0.106585420745495	0.10601803711678	-1.00535176507833	0.314727497260705	0.659350065571799	ENSG00000153982	GDPD1	protein_coding	chr17	59220467	59275967	chr17:59220467	GDPD1	protein_coding	chr17	59220467	59275970	chr17:59220467	ENSG00000153982
GDPD3	272.66518383585	-0.582089080012284	0.204651770662268	-2.84429046535293	0.00445104507978154	0.0845245244208292	ENSG00000102886	GDPD3	protein_coding	chr16	30104810	30113856	chr16:30104810	GDPD3	protein_coding	chr16	30104810	30113537	chr16:30104810	ENSG00000102886
GDPD5	1384.32048567963	0.062623053842838	0.275871242013007	0.227001021874855	0.8204229475689	0.93887734230107	ENSG00000158555	GDPD5	protein_coding	chr11	75434640	75525903	chr11:75434640	GDPD5	protein_coding	chr11	75434640	75525941	chr11:75434640	ENSG00000158555
GDPGP1	773.365545545205	0.248408354561422	0.0974806434706213	2.54828390249893	0.0108254332438302	0.134761848273295	ENSG00000183208	GDPGP1	protein_coding	chr15	90233808	90245811	chr15:90233808	GDPGP1	protein_coding	chr15	90233808	90245811	chr15:90233808	ENSG00000183208
GEMIN2	138.592754593566	-0.461231277435715	0.151908439590665	-3.03624524535013	0.00239544438806347	0.0601546833049303	ENSG00000092208	GEMIN2	protein_coding	chr14	39114223	39136973	chr14:39114223	GEMIN2	protein_coding	chr14	39114285	39136973	chr14:39114285	ENSG00000092208
GEMIN4	929.599518838735	0.117544279309077	0.21418444804822	0.548799319372685	0.583143177444277	0.836753196601226	ENSG00000179409	GEMIN4	protein_coding	chr17	744414	753999	chr17:744414	GEMIN4	protein_coding	chr17	744421	753999	chr17:744421	ENSG00000179409
GEMIN5	493.884326503624	-0.464969369493521	0.145543147029847	-3.19471839782446	0.00139967338784396	0.0446296905614361	ENSG00000082516	GEMIN5	protein_coding	chr5	154887416	154938209	chr5:154887416	GEMIN5	protein_coding	chr5	154887411	154938211	chr5:154887411	ENSG00000082516
GEMIN6	456.345612972578	-0.136280084322429	0.117747503771209	-1.15739255574564	0.247112014090018	0.596785616153769	ENSG00000152147	GEMIN6	protein_coding	chr2	38751534	38785000	chr2:38751534	GEMIN6	protein_coding	chr2	38751534	38785002	chr2:38751534	ENSG00000152147
GEMIN7	143.411365882169	-0.612344318453788	0.272828579223408	-2.24442879186921	0.0248048257471134	0.207618130241406	ENSG00000142252	GEMIN7	protein_coding	chr19	45079195	45091524	chr19:45079195	GEMIN7	protein_coding	chr19	45079195	45091518	chr19:45079195	ENSG00000142252
GEN1	491.325403653917	0.350308654013873	0.148072704239497	2.36578818367005	0.0179917347045626	0.175694736969301	ENSG00000178295	GEN1	protein_coding	chr2	17753858	17788941	chr2:17753858	GEN1	protein_coding	chr2	17753858	17788946	chr2:17753858	ENSG00000178295
GET4	1025.62697841337	0.239785242649315	0.167426774658175	1.4321797880827	0.152092374594838	0.482662264800971	ENSG00000239857	GET4	protein_coding	chr7	876552	896436	chr7:876552	GET4	protein_coding	chr7	876554	896436	chr7:876554	ENSG00000239857
GFER	374.427640549006	0.248419720112834	0.28526949118843	0.870824703608928	0.383849874567018	0.71371553067356	ENSG00000127554	GFER	protein_coding	chr16	1984207	1987749	chr16:1984207	GFER	protein_coding	chr16	1984193	1987749	chr16:1984193	ENSG00000127554
GFI1	619.895939105964	0.206786938186448	0.229546399491202	0.900850279702922	0.367667930065207	0.701104577338112	ENSG00000162676	GFI1	protein_coding	chr1	92474762	92486876	chr1:92474762	GFI1	protein_coding	chr1	92473043	92486925	chr1:92473043	ENSG00000162676
GFM1	886.97091067169	-0.0743361293305525	0.119339174091905	-0.622897970395749	0.533351571861988	0.809890601280151	ENSG00000168827	GFM1	protein_coding	chr3	158644278	158692575	chr3:158644278	GFM1	protein_coding	chr3	158644527	158695581	chr3:158644527	ENSG00000168827
GFM2	667.310145049025	0.0408013949068538	0.138549783700477	0.294489055248617	0.768384225476599	0.91987429968369	ENSG00000164347	GFM2	protein_coding	chr5	74721204	74767371	chr5:74721204	GFM2	protein_coding	chr5	74721206	74767147	chr5:74721206	ENSG00000164347
GFOD1	270.804682650487	-0.228496440349407	0.143984781036236	-1.58694855598595	0.112524296406431	0.422628394144913	ENSG00000145990	GFOD1	protein_coding	chr6	13357830	13487662	chr6:13357830	GFOD1	protein_coding	chr6	13357830	13487662	chr6:13357830	ENSG00000145990
GFOD2	691.299682476159	-0.433576634299681	0.15464467927442	-2.80369577753328	0.00505205497821569	0.089713069145898	ENSG00000141098	GFOD2	protein_coding	chr16	67674531	67719421	chr16:67674531	GFOD2	protein_coding	chr16	67674531	67719339	chr16:67674531	ENSG00000141098
GFPT1	1323.49808691391	0.0956630404137981	0.128324614912703	0.74547693346967	0.455983450483404	0.763108519017544	ENSG00000198380	GFPT1	protein_coding	chr2	69319769	69387254	chr2:69319769	GFPT1	protein_coding	chr2	69319780	69387250	chr2:69319780	ENSG00000198380
GGA1	1675.26071132139	-0.0925367425286841	0.179396006397413	-0.515823871372526	0.60597742844466	0.848290209884966	ENSG00000100083	GGA1	protein_coding	chr22	37608475	37633564	chr22:37608475	GGA1	protein_coding	chr22	37608725	37633564	chr22:37608725	ENSG00000100083
GGA2	4111.12384468131	0.0307105564291248	0.108421083662385	0.283252623860089	0.776983191331391	0.92276033228461	ENSG00000103365	GGA2	protein_coding	chr16	23463542	23521995	chr16:23463542	GGA2	protein_coding	chr16	23463542	23521995	chr16:23463542	ENSG00000103365
GGA3	2796.37844493061	-0.0419227568952562	0.134345265594062	-0.312052357854799	0.755000732743801	0.91440681159972	ENSG00000125447	GGA3	protein_coding	chr17	75236599	75262363	chr17:75236599	GGA3	protein_coding	chr17	75236599	75262363	chr17:75236599	ENSG00000125447
GGACT	128.542721541889	-0.17927996593054	0.1429509216298	-1.25413648185369	0.20979240216461	0.556926208736145	ENSG00000134864	GGACT	protein_coding	chr13	100530164	100589528	chr13:100530164	GGACT	protein_coding	chr13	100530164	100589528	chr13:100530164	ENSG00000134864
GGCT	317.505050587177	-0.189619434986669	0.130891160290498	-1.44868022077145	0.147426906618595	0.475531074186674	ENSG00000006625	GGCT	protein_coding	chr7	30496621	30504844	chr7:30496621	GGCT	protein_coding	chr7	30496621	30504841	chr7:30496621	ENSG00000006625
GGCX	1097.74344996536	-0.313125763531978	0.213173731204039	-1.46887593402524	0.141866443251443	0.467864426433815	ENSG00000115486	GGCX	protein_coding	chr2	85544723	85561547	chr2:85544723	GGCX	protein_coding	chr2	85544720	85561532	chr2:85544720	ENSG00000115486
GGNBP2	3523.5538134008	0.262631777584183	0.132283585436498	1.98536936172068	0.0471033921306303	0.282663056108158	ENSG00000278311	GGNBP2	protein_coding	chr17	36544888	36589848	chr17:36544888	GGNBP2	protein_coding	chr17	36544912	36589848	chr17:36544912	ENSG00000278311
GGPS1	518.07383064516	-0.487885888180046	0.149376508256923	-3.26614869950567	0.00109020984656242	0.038673282226512	ENSG00000152904	GGPS1	protein_coding	chr1	235327350	235344532	chr1:235327350	GGPS1	protein_coding	chr1	235327350	235344532	chr1:235327350	ENSG00000152904
GGT1	413.242619033054	0.0898412784543182	0.189409753670461	0.474322344617089	0.635270059862501	0.862788477459619	ENSG00000100031	GGT1	protein_coding	chr22	24583750	24629005	chr22:24583750	GGT1	protein_coding	chr22	24594811	24629005	chr22:24594811	ENSG00000100031
GGT7	1303.88621538191	-0.104767868176384	0.167247683457652	-0.626423433858273	0.531037242989722	0.808865213423485	ENSG00000131067	GGT7	protein_coding	chr20	34844720	34872860	chr20:34844720	GGT7	protein_coding	chr20	34844720	34872856	chr20:34844720	ENSG00000131067
GHDC	716.43966117272	-0.342078291903987	0.212504580220432	-1.60974550077531	0.107453427286378	0.413900335214269	ENSG00000167925	GHDC	protein_coding	chr17	42188799	42194532	chr17:42188799	GHDC	protein_coding	chr17	42188799	42194532	chr17:42188799	ENSG00000167925
GHET1	536.957493208971	0.173937169932274	0.163029473013546	1.06690628827477	0.286014154996309	0.631425444779083	ENSG00000281189	GHET1	lincRNA	chr7	148987527	148989432	chr7:148987527	GHET1	lncRNA	chr7	148987527	148989432	chr7:148987527	ENSG00000281189
GHITM	3150.62167878301	-0.0909663216554903	0.131567913948385	-0.691402021401488	0.489312934141078	0.783343878636425	ENSG00000165678	GHITM	protein_coding	chr10	84139440	84153555	chr10:84139440	GHITM	protein_coding	chr10	84139482	84154841	chr10:84139482	ENSG00000165678
GHRL	80.5920613333731	-0.0814449673938464	0.179085252091241	-0.454783218845691	0.649265204174912	0.869251395061264	ENSG00000157017	GHRL	protein_coding	chr3	10285675	10292947	chr3:10285675	GHRL	protein_coding	chr3	10285666	10292947	chr3:10285666	ENSG00000157017
GHRLOS	299.42839766733	-0.121767699296808	0.279995434505135	-0.434891731402768	0.663641016682012	0.875488525430391	ENSG00000240288	GHRLOS	antisense	chr3	10285754	10293449	chr3:10285754	GHRLOS	lncRNA	chr3	10285754	10294903	chr3:10285754	ENSG00000240288
GID4	503.693400236109	-0.189657769600786	0.0973928707015495	-1.94734756491544	0.0514930798439466	0.294459085870128	ENSG00000141034	GID4	protein_coding	chr17	18039292	18068404	chr17:18039292	GID4	protein_coding	chr17	18039408	18068405	chr17:18039408	ENSG00000141034
GID8	2621.98957761226	0.115109007486132	0.160846447324387	0.715645321366567	0.474210381327612	0.774039410523973	ENSG00000101193	GID8	protein_coding	chr20	62938119	62948475	chr20:62938119	GID8	protein_coding	chr20	62938147	62948475	chr20:62938147	ENSG00000101193
GIGYF1	6001.81203156604	0.0016176579671695	0.160235341548354	0.0100955129594886	0.991945082901833	0.997337083221572	ENSG00000146830	GIGYF1	protein_coding	chr7	100679507	100689448	chr7:100679507	GIGYF1	protein_coding	chr7	100679507	100694250	chr7:100679507	ENSG00000146830
GIGYF2	2690.6374033582	0.231023324349831	0.131746675105717	1.75354197109302	0.0795090217486014	0.360916144101042	ENSG00000204120	GIGYF2	protein_coding	chr2	232697299	232860575	chr2:232697299	GIGYF2	protein_coding	chr2	232697299	232860605	chr2:232697299	ENSG00000204120
GIMAP1	3217.60463292794	-0.779512732140921	0.201823309603445	-3.86235234013632	0.00011230044299158	0.0108422625105754	ENSG00000213203	GIMAP1	protein_coding	chr7	150716557	150724284	chr7:150716557	GIMAP1	protein_coding	chr7	150716606	150724284	chr7:150716606	ENSG00000213203
GIMAP2	2403.22855817327	-0.355442303358585	0.187723842174163	-1.89343185842542	0.058300462067258	0.312887595306771	ENSG00000106560	GIMAP2	protein_coding	chr7	150685697	150693641	chr7:150685697	GIMAP2	protein_coding	chr7	150685697	150693641	chr7:150685697	ENSG00000106560
GIMAP4	2552.66932559498	-1.05829295391725	0.280604556876855	-3.77147458222387	0.000162285690920669	0.0134485250478787	ENSG00000133574	GIMAP4	protein_coding	chr7	150567277	150573955	chr7:150567277	GIMAP4	protein_coding	chr7	150567369	150573953	chr7:150567369	ENSG00000133574
GIMAP5	5786.075129229	-0.278553030292263	0.242187157668139	-1.15015607340317	0.250079594694464	0.598429818602707	ENSG00000196329	GIMAP5	protein_coding	chr7	150722253	150750033	chr7:150722253	GIMAP5	protein_coding	chr7	150722253	150750033	chr7:150722253	ENSG00000196329
GIMAP6	5172.46129163961	-0.513908265791294	0.239706324667355	-2.14390782764891	0.0320402728833694	0.233820318231302	ENSG00000133561	GIMAP6	protein_coding	chr7	150625375	150632648	chr7:150625375	GIMAP6	protein_coding	chr7	150625375	150632648	chr7:150625375	ENSG00000133561
GIMAP7	2555.98844355734	-0.314586922174487	0.20462986332714	-1.53734609924241	0.124208578186518	0.440213183313161	ENSG00000179144	GIMAP7	protein_coding	chr7	150514830	150521073	chr7:150514830	GIMAP7	protein_coding	chr7	150514872	150521073	chr7:150514872	ENSG00000179144
GIMAP8	1624.90097765629	-0.67604425246375	0.178839408697129	-3.78017494795375	0.000156718200093935	0.0132072713655434	ENSG00000171115	GIMAP8	protein_coding	chr7	150450630	150479392	chr7:150450630	GIMAP8	protein_coding	chr7	150450630	150479393	chr7:150450630	ENSG00000171115
GIN1	172.435328575265	-0.545460001580873	0.170671415675045	-3.19596576511334	0.00139363646646844	0.0446200898406174	ENSG00000145723	GIN1	protein_coding	chr5	103086000	103120151	chr5:103086000	GIN1	protein_coding	chr5	103086000	103120138	chr5:103086000	ENSG00000145723
GINM1	678.899795282856	0.25814139531115	0.134000555144349	1.92642034231182	0.0540519094232528	0.301972025060656	ENSG00000055211	GINM1	protein_coding	chr6	149566294	149591748	chr6:149566294	GINM1	protein_coding	chr6	149566294	149591748	chr6:149566294	ENSG00000055211
GINS1	144.584799353015	-0.188981592812851	0.106432730079065	-1.77559659206772	0.0757994321239241	0.352725699353147	ENSG00000101003	GINS1	protein_coding	chr20	25407727	25452628	chr20:25407727	GINS1	protein_coding	chr20	25391008	25452700	chr20:25391008	ENSG00000101003
GINS2	103.526370473836	-0.0805885954596902	0.18377964373444	-0.438506647537852	0.661019052376316	0.8743866010938	ENSG00000131153	GINS2	protein_coding	chr16	85676198	85690073	chr16:85676198	GINS2	protein_coding	chr16	85676198	85690073	chr16:85676198	ENSG00000131153
GINS3	54.3377471509202	-0.288357134836971	0.159507624764156	-1.80779530297269	0.0706383650850387	0.342102978178889	ENSG00000181938	GINS3	protein_coding	chr16	58295080	58406144	chr16:58295080	GINS3	protein_coding	chr16	58295080	58406147	chr16:58295080	ENSG00000181938
GINS4	355.710295047461	0.14769011998298	0.108635012457158	1.3595075532506	0.173985810650259	0.511633187691393	ENSG00000147536	GINS4	protein_coding	chr8	41529206	41545046	chr8:41529206	GINS4	protein_coding	chr8	41529218	41545030	chr8:41529218	ENSG00000147536
GIPC1	1081.78464719895	-0.14120305421269	0.252778233163343	-0.558604482852942	0.576431679916202	0.833617058846287	ENSG00000123159	GIPC1	protein_coding	chr19	14477760	14496149	chr19:14477760	GIPC1	protein_coding	chr19	14477760	14496149	chr19:14477760	ENSG00000123159
GIPC3	235.704746321426	-0.0633136091125198	0.280863816281103	-0.225424584593525	0.821648988041227	0.939404093781402	ENSG00000179855	GIPC3	protein_coding	chr19	3585553	3593541	chr19:3585553	GIPC3	protein_coding	chr19	3585478	3593541	chr19:3585478	ENSG00000179855
GIPR	186.758895317969	-0.46827552216093	0.169839641788188	-2.75716268140115	0.00583053357771326	0.0963429535788485	ENSG00000010310	GIPR	protein_coding	chr19	45668244	45683724	chr19:45668244	GIPR	protein_coding	chr19	45668221	45683722	chr19:45668221	ENSG00000010310
GIT1	2978.22075734734	-0.0346611772961741	0.22677447983577	-0.152844258848155	0.878521094250699	0.960835319612278	ENSG00000108262	GIT1	protein_coding	chr17	29573469	29594054	chr17:29573469	GIT1	protein_coding	chr17	29573475	29594054	chr17:29573475	ENSG00000108262
GIT2	3596.78830060591	-0.149942798449929	0.0943220589575249	-1.58968962411487	0.11190478363928	0.421149919302466	ENSG00000139436	GIT2	protein_coding	chr12	109929792	109996389	chr12:109929792	GIT2	protein_coding	chr12	109929804	109996389	chr12:109929804	ENSG00000139436
GJB7	63.3840680073513	-0.469884525867328	0.280386419777109	-1.67584623478148	0.0937683152310176	0.390860716541421	ENSG00000164411	GJB7	protein_coding	chr6	87282978	87329278	chr6:87282978	GJB7	protein_coding	chr6	87282980	87329278	chr6:87282980	ENSG00000164411
GK5	1624.23889852191	0.0707725071812697	0.0990898094483161	0.714225888366287	0.475087511071527	0.774792856163389	ENSG00000175066	GK5	protein_coding	chr3	142157527	142225607	chr3:142157527	GK5	protein_coding	chr3	142157527	142225592	chr3:142157527	ENSG00000175066
GKAP1	280.864769416836	0.173798339482478	0.157864656536229	1.10093255384616	0.270926012511458	0.618924552512009	ENSG00000165113	GKAP1	protein_coding	chr9	83739421	83829516	chr9:83739421	GKAP1	protein_coding	chr9	83739425	83829516	chr9:83739425	ENSG00000165113
GLB1	730.182698446858	-0.385252971713467	0.1581172188711	-2.43650232697004	0.014830074038902	0.158807947638238	ENSG00000170266	GLB1	protein_coding	chr3	32996608	33097230	chr3:32996608	GLB1	protein_coding	chr3	32996609	33097202	chr3:32996609	ENSG00000170266
GLB1L	110.167683339052	-0.506704800463552	0.186055544600669	-2.72340607505728	0.00646125851055286	0.10171964387616	ENSG00000163521	GLB1L	protein_coding	chr2	219236606	219245478	chr2:219236606	GLB1L	protein_coding	chr2	219236598	219245478	chr2:219236598	ENSG00000163521
GLB1L3	227.152752548714	0.0590566652937044	0.101763466702755	0.580332679371129	0.561690293820734	0.825642648385487	ENSG00000166105	GLB1L3	protein_coding	chr11	134274245	134319564	chr11:134274245	GLB1L3	protein_coding	chr11	134274245	134319564	chr11:134274245	ENSG00000166105
GLCCI1	1215.79235166934	-0.146631277588768	0.129769143568443	-1.12993947217839	0.258501730027237	0.606025412163606	ENSG00000106415	GLCCI1	protein_coding	chr7	7968794	8094272	chr7:7968794	GLCCI1	protein_coding	chr7	7968796	8094272	chr7:7968796	ENSG00000106415
GLCE	188.894714083854	-0.691926693291911	0.211569510781359	-3.27044615614281	0.00107377981741468	0.0386418254438265	ENSG00000138604	GLCE	protein_coding	chr15	69160584	69272217	chr15:69160584	GLCE	protein_coding	chr15	69160584	69272217	chr15:69160584	ENSG00000138604
GLE1	1268.89787236042	-0.120522898596006	0.0910590900913744	-1.32356800924615	0.185646555585111	0.52716482893305	ENSG00000119392	GLE1	protein_coding	chr9	128504700	128542288	chr9:128504700	GLE1	protein_coding	chr9	128504655	128543874	chr9:128504655	ENSG00000119392
GLG1	10757.8208208439	-0.11835374930151	0.0946089679116283	-1.25097812516104	0.210942458401574	0.557922456544193	ENSG00000090863	GLG1	protein_coding	chr16	74447427	74607144	chr16:74447427	GLG1	protein_coding	chr16	74447427	74607144	chr16:74447427	ENSG00000090863
GLI4	405.553402535752	0.0171830428875903	0.206114311085299	0.083366568760377	0.933560070214083	0.978426052158676	ENSG00000250571	GLI4	protein_coding	chr8	143267433	143276931	chr8:143267433	GLI4	protein_coding	chr8	143267433	143276931	chr8:143267433	ENSG00000250571
GLIPR1	2481.27394889264	-0.225287787157492	0.194197091749663	-1.16009866639974	0.246008637089582	0.595805378009962	ENSG00000139278	GLIPR1	protein_coding	chr12	75480680	75503853	chr12:75480680	GLIPR1	protein_coding	chr12	75480753	75503863	chr12:75480753	ENSG00000139278
GLIPR1L1	14.1435400665512	-0.58524322513651	0.288330948751641	-2.02976207608091	0.0423807295700783	0.269301017634298	ENSG00000173401	GLIPR1L1	protein_coding	chr12	75334639	75370560	chr12:75334639	GLIPR1L1	protein_coding	chr12	75334670	75370560	chr12:75334670	ENSG00000173401
GLIPR1L2	119.325263375658	0.139145460839444	0.165480957267644	0.840854821829403	0.400429270596034	0.726217336457272	ENSG00000180481	GLIPR1L2	protein_coding	chr12	75391070	75432688	chr12:75391070	GLIPR1L2	protein_coding	chr12	75391089	75432688	chr12:75391089	ENSG00000180481
GLIPR2	1712.16589408346	-0.274416555276405	0.207275624513586	-1.32392101541307	0.185529277910403	0.52716482893305	ENSG00000122694	GLIPR2	protein_coding	chr9	36136536	36163913	chr9:36136536	GLIPR2	protein_coding	chr9	36136536	36163913	chr9:36136536	ENSG00000122694
GLMN	301.24092549936	0.0397090607278176	0.183198451357912	0.216754347176432	0.828399791754683	0.941831211410727	ENSG00000174842	GLMN	protein_coding	chr1	92246402	92298987	chr1:92246402	GLMN	protein_coding	chr1	92246402	92298987	chr1:92246402	ENSG00000174842
GLMP	479.786396724299	-0.154887422177802	0.209514488635713	-0.739268311162518	0.45974408761088	0.765248304731093	ENSG00000198715	GLMP	protein_coding	chr1	156290089	156295689	chr1:156290089	GLMP	protein_coding	chr1	156290089	156295689	chr1:156290089	ENSG00000198715
GLO1	1322.19388175294	0.0739165172171647	0.128976155375541	0.573102190881261	0.56657550391076	0.827979646044567	ENSG00000124767	GLO1	protein_coding	chr6	38675925	38703141	chr6:38675925	GLO1	protein_coding	chr6	38675925	38703145	chr6:38675925	ENSG00000124767
GLOD4	1908.83606201534	-0.0174670780855268	0.117879455199907	-0.148177458539362	0.882202720901889	0.962132387325145	ENSG00000167699	GLOD4	protein_coding	chr17	757097	783390	chr17:757097	GLOD4	protein_coding	chr17	757097	782294	chr17:757097	ENSG00000167699
GLRX	820.087067600069	-0.433358222778286	0.231412870527423	-1.87266257831987	0.0611149939882052	0.318932267359581	ENSG00000173221	GLRX	protein_coding	chr5	95751319	95823005	chr5:95751319	GLRX	protein_coding	chr5	95751319	95822726	chr5:95751319	ENSG00000173221
GLRX2	79.4654988001551	-0.195816154572536	0.124268129037913	-1.57575523256486	0.115082223118125	0.426772036255859	ENSG00000023572	GLRX2	protein_coding	chr1	193096468	193106114	chr1:193096468	GLRX2	protein_coding	chr1	193090866	193106114	chr1:193090866	ENSG00000023572
GLRX3	1208.91520711612	-0.0977578615597381	0.119678436346581	-0.816837724021036	0.41402117073762	0.734639480557629	ENSG00000108010	GLRX3	protein_coding	chr10	130136399	130184521	chr10:130136399	GLRX3	protein_coding	chr10	130136391	130184521	chr10:130136391	ENSG00000108010
GLRX5	609.71302520699	0.101343194492446	0.241296673786149	0.419994162796715	0.674489717926671	0.880679515821538	ENSG00000182512	GLRX5	protein_coding	chr14	95533503	95544724	chr14:95533503	GLRX5	protein_coding	chr14	95533503	95544724	chr14:95533503	ENSG00000182512
GLS	3998.95409540311	-0.247055994954787	0.144219552504722	-1.71305478809261	0.0867024606323545	0.376505750807137	ENSG00000115419	GLS	protein_coding	chr2	190880827	190965552	chr2:190880827	GLS	protein_coding	chr2	190880821	190965552	chr2:190880821	ENSG00000115419
GLS2	115.432651327584	-0.571506156752772	0.17817993385681	-3.20746643228664	0.00133909687054476	0.0434646399179349	ENSG00000135423	GLS2	protein_coding	chr12	56470944	56488414	chr12:56470944	GLS2	protein_coding	chr12	56470944	56488414	chr12:56470944	ENSG00000135423
GLT8D1	814.686305476764	-0.215398058342792	0.103024402152623	-2.09074795720432	0.0365506635428106	0.250382536273862	ENSG00000016864	GLT8D1	protein_coding	chr3	52694485	52706083	chr3:52694485	GLT8D1	protein_coding	chr3	52694486	52706032	chr3:52694486	ENSG00000016864
GLTP	1480.3308333288	-0.0285597629246049	0.192649882418563	-0.148246978228381	0.882147858118305	0.962132387325145	ENSG00000139433	GLTP	protein_coding	chr12	109850943	109880488	chr12:109850943	GLTP	protein_coding	chr12	109850945	109880541	chr12:109850945	ENSG00000139433
GLUD1	3441.10714256065	-0.0532475178325827	0.0981702587296914	-0.542399689290806	0.587543193668722	0.839190697405994	ENSG00000148672	GLUD1	protein_coding	chr10	87050486	87094866	chr10:87050486	GLUD1	protein_coding	chr10	87050202	87094843	chr10:87050202	ENSG00000148672
GLUL	3182.416768428	0.479222390902754	0.200571500250081	2.38928457086495	0.0168812209732103	0.169625283022494	ENSG00000135821	GLUL	protein_coding	chr1	182381704	182392206	chr1:182381704	GLUL	protein_coding	chr1	182378098	182392206	chr1:182378098	ENSG00000135821
